frame,time_s,pose_valid,tag_family,tag_id,tx_m,ty_m,tz_m,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg,pose_error,hamming,decision_margin,center_px,corners_px_lb_rb_rt_lt
0,0.0,1,tagStandard41h12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.1805546814635168e-15,-0.0,1.5902773407317584e-15,3.2183984857585054e-07,0,141.9306640625,"[2334.71630859375, 1066.5142822265625]","[[2679.133056640625, 974.4481811523438], [2233.891357421875, 807.2657470703125], [1987.15087890625, 1159.4219970703125], [2449.495849609375, 1361.643798828125]]"
1,0.03336666666666667,1,tagStandard41h12,0,1.3033298556726225e-05,-5.813544369472116e-05,-0.00010067016092621793,6.772389994883883e-05,-5.750131216479332e-05,7.51634988016203e-06,0.9999999960252886,0.007760537796200533,-0.006589223326638634,0.0008608640093111531,3.212613280801454e-07,0,142.16989135742188,"[2334.502197265625, 1066.4283447265625]","[[2679.025634765625, 974.34619140625], [2233.67578125, 807.1746826171875], [1986.9249267578125, 1159.3267822265625], [2449.279296875, 1361.5531005859375]]"
2,0.06673333333333334,1,tagStandard41h12,0,8.430951639478611e-05,0.0001398384262464317,0.00021023103261596078,-0.00033115628969583735,-5.545054540494746e-05,7.183775553831565e-05,0.9999999410500411,-0.037948172757065524,-0.006351438006520577,0.008234104219256832,3.532115878508493e-07,0,142.33421325683594,"[2334.712158203125, 1066.5416259765625]","[[2679.055908203125, 974.4287109375], [2233.915283203125, 807.1805419921875], [1987.317626953125, 1159.470703125], [2449.333740234375, 1361.4754638671875]]"
3,0.10010000000000001,1,tagStandard41h12,0,8.872271981555557e-05,7.148732445309841e-05,0.00010835632475795629,-0.00018939299888000007,3.300647772612286e-05,4.7831439797123114e-05,0.9999999803765087,-0.021702658239584546,0.003783301747162407,0.005480362835295682,3.395649461001101e-07,0,141.13046264648438,"[2334.4951171875, 1066.47900390625]","[[2678.944580078125, 974.3969116210938], [2233.689453125, 807.1326904296875], [1987.0931396484375, 1159.3504638671875], [2449.16064453125, 1361.4837646484375]]"
4,0.13346666666666668,1,tagStandard41h12,0,0.00010704847112100966,7.498871624475592e-05,0.00013076693055749577,-0.0003237886367487096,6.435329264501237e-05,6.11374579003932e-05,0.9999999436408903,-0.037102994640890674,0.007376612147711611,0.007003448567510121,3.3259419310085627e-07,0,140.94259643554688,"[2334.4306640625, 1066.4796142578125]","[[2678.855712890625, 974.379150390625], [2233.65087890625, 807.1168212890625], [1987.037109375, 1159.3739013671875], [2449.08740234375, 1361.555908203125]]"
5,0.16683333333333333,1,tagStandard41h12,0,0.00010063563477690723,0.0001403737264682254,0.00019837753066754408,-0.00018939676447491787,-0.00012720231813141537,7.662369490536735e-05,0.9999999710386223,-0.02170438799933128,-0.014574648696668573,0.008783189428139288,3.350079930279946e-07,0,140.0027313232422,"[2334.66796875, 1066.419677734375]","[[2678.914794921875, 974.3463134765625], [2233.92724609375, 807.2151489257812], [1987.1915283203125, 1159.3568115234375], [2449.315185546875, 1361.4052734375]]"
6,0.20020000000000002,1,tagStandard41h12,0,0.00017417945744673517,0.00015881397901799203,0.0002507390138777265,-0.00032261400360563444,-8.030207545567246e-05,0.00020197471860593333,0.9999999243389943,-0.03697070044055057,-0.00919447259135322,0.023147565740226157,3.296625393885771e-07,0,139.59115600585938,"[2334.380126953125, 1066.3843994140625]","[[2678.683837890625, 974.3516845703125], [2233.7421875, 807.137451171875], [1986.99365234375, 1159.2412109375], [2448.903564453125, 1361.401123046875]]"
7,0.23356666666666667,1,tagStandard41h12,0,0.00013879676099448098,1.8938107860667867e-05,9.726760157111037e-05,-0.00016306499171203412,-0.00010279842570463718,0.00010726588461361527,0.9999999756681608,-0.018687135468431086,-0.011777827306702612,0.012293685881361064,3.242632638547107e-07,0,138.93753051757812,"[2334.201171875, 1066.4853515625]","[[2678.5751953125, 974.4161376953125], [2233.49853515625, 807.2489013671875], [1986.708984375, 1159.38818359375], [2448.828857421875, 1361.5684814453125]]"
8,0.26693333333333336,1,tagStandard41h12,0,0.00017269508559945916,7.048645251025023e-05,0.0001823615523764327,-0.0002630226228825077,-4.233992135670838e-05,0.00012399730191802515,0.9999999568255492,-0.030140774221850377,-0.004848060093558608,0.01421031985743426,3.186139864667323e-07,0,139.3724822998047,"[2334.222900390625, 1066.4425048828125]","[[2678.43701171875, 974.4038696289062], [2233.57275390625, 807.2457275390625], [1986.6943359375, 1159.367431640625], [2448.832763671875, 1361.5885009765625]]"
9,0.3003,1,tagStandard41h12,0,0.00020464934751320007,4.323164196936356e-05,0.00016661536653847376,-0.00012333672961250576,-0.00013318365437347843,9.811848022186783e-05,0.9999999787114643,-0.014134845932369978,-0.015260335704344872,0.011245432180570166,3.4879474637421974e-07,0,140.07229614257812,"[2333.991455078125, 1066.5426025390625]","[[2678.36767578125, 974.4769897460938], [2233.267578125, 807.2659301757812], [1986.5845947265625, 1159.4183349609375], [2448.5498046875, 1361.4312744140625]]"
