time,nis,roll,pitch,yaw,gx,gy,gz,gunbx,gunby,gunbz,bgx,bgy,bgz,gmx,gmy,gmz
127266.835623,0.0078,0.000000,-0.000000,0.000000,4.227362e-04,2.037846e-04,-1.648638e-04,-4.559019e-04,1.442410e-04,-1.100656e-04,8.786381e-04,5.954369e-05,-5.479822e-05,8.788607e-04,5.984074e-05,-5.497500e-05
127266.934584,0.0415,0.000000,-0.000000,0.000000,5.063375e-04,-1.193805e-05,-1.144063e-04,-3.724007e-04,-7.134567e-05,-5.956170e-05,8.787382e-04,5.940762e-05,-5.484463e-05,8.789388e-04,5.976488e-05,-5.522019e-05
127266.984590,0.0399,0.000000,-0.000000,0.000000,1.986359e-04,-4.798434e-04,1.097812e-04,-6.760706e-04,-5.401891e-04,1.648078e-04,8.747065e-04,6.034575e-05,-5.502663e-05,8.785707e-04,6.011962e-05,-5.486603e-05
127267.035644,0.0104,0.000000,-0.000000,0.000000,4.683940e-04,-8.172504e-04,-2.051984e-04,-4.064605e-04,-8.745361e-04,-1.503025e-04,8.748545e-04,5.728570e-05,-5.489584e-05,8.786621e-04,5.993005e-05,-5.482177e-05
127267.134587,0.0003,0.000000,-0.000000,0.000000,1.109279e-03,5.353274e-04,-9.286024e-04,2.332158e-04,4.757020e-04,-8.735721e-04,8.760631e-04,5.962543e-05,-5.503035e-05,8.780203e-04,6.057092e-05,-5.496203e-05
127267.184591,0.0089,0.000000,-0.000000,0.000000,1.137274e-03,6.567674e-05,1.249656e-05,2.658831e-04,6.971412e-06,6.766595e-05,8.713909e-04,5.870533e-05,-5.516939e-05,8.779699e-04,6.012352e-05,-5.553806e-05
127267.235454,0.0097,0.000000,-0.000000,0.000000,5.680000e-04,-4.754975e-04,-3.467271e-04,-2.966621e-04,-5.332592e-04,-2.912331e-04,8.646621e-04,5.776168e-05,-5.549402e-05,8.775242e-04,5.990988e-05,-5.531728e-05
127267.334577,0.0424,0.000000,-0.000000,0.000000,1.447175e-03,5.767091e-04,-5.279970e-04,5.854089e-04,5.100761e-04,-4.726752e-04,8.617658e-04,6.663304e-05,-5.532181e-05,8.771088e-04,5.976282e-05,-5.575961e-05
127267.384582,0.0339,0.000000,-0.000000,0.000000,1.085647e-03,-2.271721e-04,3.871664e-04,2.267797e-04,-2.895404e-04,4.427936e-04,8.588675e-04,6.236834e-05,-5.562718e-05,8.774019e-04,5.995850e-05,-5.592526e-05
127267.435485,0.0040,0.000000,-0.000000,0.000000,1.078038e-03,4.393168e-04,-3.804818e-05,2.160520e-04,3.745918e-04,1.718813e-05,8.619855e-04,6.472507e-05,-5.523631e-05,8.776489e-04,5.992314e-05,-5.565459e-05
127267.534578,0.0083,0.000000,-0.000000,0.000000,1.482779e-03,2.981022e-04,4.129100e-04,6.086325e-04,2.345379e-04,4.680626e-04,8.741468e-04,6.356434e-05,-5.515257e-05,8.784605e-04,6.000906e-05,-5.543383e-05
127267.635540,0.0380,0.000000,-0.000000,0.000000,1.182600e-03,-3.787364e-06,6.619161e-04,2.999164e-04,-5.649008e-05,7.168145e-04,8.826838e-04,5.270271e-05,-5.489835e-05,8.786694e-04,5.968905e-05,-5.480066e-05
127267.734580,0.0110,0.000000,-0.000000,0.000000,3.109828e-04,5.337391e-04,1.589995e-04,-5.743571e-04,4.774272e-04,2.141734e-04,8.853399e-04,5.631193e-05,-5.517387e-05,8.777026e-04,6.015578e-05,-5.430556e-05
127267.835429,0.0540,0.000000,-0.000000,0.000000,-5.269847e-04,-7.183077e-04,4.904375e-04,-1.405486e-03,-7.725058e-04,5.456546e-04,8.785017e-04,5.419811e-05,-5.521706e-05,8.776260e-04,5.976428e-05,-5.364579e-05
127267.934586,0.0199,0.000000,-0.000000,0.000000,1.146786e-03,6.826332e-04,-4.542394e-04,2.738183e-04,6.242861e-04,-3.991668e-04,8.729678e-04,5.834710e-05,-5.507255e-05,8.781578e-04,6.008870e-05,-5.398591e-05
127267.984593,0.0710,0.000000,-0.000000,0.000000,5.741784e-04,-4.519181e-04,-7.208210e-05,-2.958754e-04,-5.181587e-04,-1.697603e-05,8.700539e-04,6.624062e-05,-5.510607e-05,8.777867e-04,5.966106e-05,-5.424510e-05
127268.084581,0.0184,0.000000,-0.000000,0.000000,-1.510408e-04,-3.071605e-04,6.679375e-05,-1.021001e-03,-3.664814e-04,1.214518e-04,8.699600e-04,5.932088e-05,-5.465806e-05,8.783523e-04,5.978635e-05,-5.414355e-05
127268.134618,0.0109,0.000000,-0.000000,0.000000,1.399440e-03,2.725681e-04,4.459491e-04,5.340470e-04,2.089775e-04,5.005028e-04,8.653929e-04,6.359057e-05,-5.455370e-05,8.781501e-04,5.987126e-05,-5.379886e-05
127268.235905,0.0336,0.000000,-0.000000,0.000000,1.004193e-03,1.981472e-04,-5.468117e-05,1.407800e-04,1.308804e-04,-7.448216e-08,8.634126e-04,6.726683e-05,-5.460668e-05,8.774917e-04,5.976565e-05,-5.360152e-05
127268.334581,0.0536,0.000000,-0.000000,0.000000,1.865844e-03,1.423491e-04,4.310265e-04,1.010187e-03,7.644275e-05,4.855395e-04,8.556569e-04,6.590631e-05,-5.451301e-05,8.775157e-04,5.988245e-05,-5.354670e-05
127268.384602,0.0252,0.000000,-0.000000,0.000000,1.676406e-03,3.257133e-04,8.894198e-05,8.200015e-04,2.604695e-04,1.429630e-04,8.564047e-04,6.524386e-05,-5.402100e-05,8.776983e-04,5.991214e-05,-5.337174e-05
127268.435520,0.0167,0.000000,-0.000000,0.000000,8.145626e-04,-3.595727e-04,-4.782202e-06,-3.792242e-05,-4.259061e-04,4.976500e-05,8.524850e-04,6.633336e-05,-5.454720e-05,8.777453e-04,5.964843e-05,-5.297993e-05
127268.534587,0.0279,0.000000,-0.000000,0.000000,1.333816e-03,3.643898e-04,2.791654e-04,4.725264e-04,2.983935e-04,3.329135e-04,8.612891e-04,6.599635e-05,-5.374806e-05,8.773627e-04,5.999412e-05,-5.277161e-05
127268.584592,0.0197,0.000000,-0.000000,0.000000,3.290644e-04,-2.811027e-04,3.680201e-04,-5.352621e-04,-3.439375e-04,4.212986e-04,8.643265e-04,6.283481e-05,-5.327847e-05,8.766180e-04,5.971118e-05,-5.252992e-05
127268.635845,0.0183,0.000000,-0.000000,0.000000,1.794757e-03,6.856700e-04,-3.438473e-04,9.305656e-04,6.190254e-04,-2.910212e-04,8.641913e-04,6.664469e-05,-5.282615e-05,8.763315e-04,6.028303e-05,-5.246979e-05
127268.734610,0.0334,0.000000,-0.000000,0.000000,-4.839798e-05,-5.377883e-04,-1.989326e-04,-9.145380e-04,-6.043895e-04,-1.475777e-04,8.661400e-04,6.660123e-05,-5.135492e-05,8.754237e-04,6.018783e-05,-5.279787e-05
127268.835690,0.0262,0.000000,-0.000000,0.000000,6.609213e-04,2.696534e-04,2.104169e-04,-2.028046e-04,2.016182e-04,2.609368e-04,8.637259e-04,6.803516e-05,-5.051991e-05,8.754703e-04,6.091034e-05,-5.288392e-05
127268.934616,0.0080,0.000000,-0.000000,0.000000,3.062529e-04,-5.497787e-05,-3.179990e-05,-5.565783e-04,-1.190172e-04,1.821372e-05,8.628312e-04,6.403936e-05,-5.001362e-05,8.756561e-04,6.067587e-05,-5.295186e-05
127268.984627,0.0369,0.000000,-0.000000,0.000000,1.158532e-03,3.963119e-04,3.451214e-04,2.980275e-04,3.281945e-04,3.954360e-04,8.605046e-04,6.811739e-05,-5.031455e-05,8.754665e-04,6.092590e-05,-5.250879e-05
127269.084613,0.0377,0.000000,-0.000000,0.000000,8.320683e-04,-3.255912e-04,-1.379334e-04,-3.733522e-05,-3.820506e-04,-8.689626e-05,8.694035e-04,5.645939e-05,-5.103711e-05,8.752623e-04,6.043124e-05,-5.206518e-05
127269.184586,0.0448,0.000000,-0.000000,0.000000,4.214621e-04,-5.630432e-04,3.852814e-04,-4.386030e-04,-6.279761e-04,4.351769e-04,8.600651e-04,6.493285e-05,-4.989543e-05,8.754716e-04,6.061868e-05,-5.157290e-05
127269.235932,0.0298,0.000000,-0.000000,0.000000,6.463652e-04,-2.951526e-04,2.109754e-04,-2.169883e-04,-3.610899e-04,2.612455e-04,8.633535e-04,6.593722e-05,-5.027010e-05,8.755961e-04,6.068183e-05,-5.184424e-05
127269.334593,0.0104,0.000000,-0.000000,0.000000,6.426128e-04,1.491733e-04,-6.218085e-04,-2.283805e-04,7.521667e-05,-5.706941e-04,8.709933e-04,7.395662e-05,-5.111439e-05,8.756409e-04,6.052223e-05,-5.164188e-05
127269.384618,0.0360,0.000000,-0.000000,0.000000,1.208326e-03,9.293529e-04,9.501572e-05,3.390325e-04,8.653068e-04,1.450542e-04,8.692938e-04,6.404611e-05,-5.003843e-05,8.763537e-04,6.090953e-05,-5.136279e-05
127269.435788,0.0123,0.000000,-0.000000,0.000000,3.274587e-04,-1.989326e-04,5.427101e-04,-5.410928e-04,-2.614444e-04,5.925409e-04,8.685514e-04,6.251173e-05,-4.983074e-05,8.767371e-04,6.030989e-05,-5.122341e-05
127269.534601,0.0984,0.000000,-0.000000,0.000000,4.084245e-04,-4.940678e-04,-1.308473e-04,-4.632921e-04,-5.537422e-04,-8.271822e-05,8.717166e-04,5.967436e-05,-4.812912e-05,8.777612e-04,5.994837e-05,-5.130274e-05
127269.634556,0.0003,0.000000,-0.000000,0.000000,1.450857e-03,1.156804e-04,3.214547e-04,5.771243e-04,5.278533e-05,3.680792e-04,8.737330e-04,6.289509e-05,-4.662442e-05,8.787717e-04,6.041615e-05,-5.127817e-05
127269.684603,0.0097,0.000000,-0.000000,0.000000,6.121568e-04,1.785821e-04,1.021367e-04,-2.622525e-04,1.218277e-04,1.489226e-04,8.744093e-04,5.675444e-05,-4.678592e-05,8.787521e-04,6.031015e-05,-5.160534e-05
127269.734605,0.0412,0.000000,-0.000000,0.000000,1.662304e-03,2.607522e-04,-2.189865e-04,7.832914e-04,2.007632e-04,-1.722046e-04,8.790125e-04,5.998903e-05,-4.678183e-05,8.789165e-04,6.064541e-05,-5.133171e-05
127269.835676,0.0323,0.000000,-0.000000,0.000000,8.694009e-04,8.289965e-04,-1.390504e-04,-9.898997e-06,7.692777e-04,-9.245683e-05,8.792999e-04,5.971877e-05,-4.659355e-05,8.790631e-04,6.054059e-05,-5.128349e-05
127269.934614,0.0212,0.000000,-0.000000,0.000000,1.615843e-03,6.374815e-04,-8.687376e-04,7.407216e-04,5.803030e-04,-8.220106e-04,8.751217e-04,5.717850e-05,-4.672700e-05,8.788342e-04,6.016644e-05,-5.125268e-05
